Date,Gender,Type,Ranking,Player,Country,Age,Points,Tournaments
1/1/90,men,singles,1,Ivan Lendl,USA,29,0,0
1/1/90,men,singles,2,Boris Becker,GER,22,0,0
1/1/90,men,singles,3,Stefan Edberg,SWE,23,0,0
1/1/90,men,singles,4,Brad Gilbert,USA,28,0,0
1/1/90,men,singles,5,John McEnroe,USA,30,0,0
1/1/90,men,singles,6,Michael Chang,USA,17,0,0
1/1/90,men,singles,7,Aaron Krickstein,USA,22,0,0
1/1/90,men,singles,8,Andre Agassi,USA,19,0,0
1/1/90,men,singles,9,Jay Berger,USA,23,0,0
1/1/90,men,singles,10,Alberto Mancini,ARG,20,0,0
1/1/90,men,singles,11,Martin Jaite,ARG,25,0,0
1/1/90,men,singles,12,Tim Mayotte,USA,29,0,0
1/1/90,men,singles,13,Mats Wilander,SWE,25,0,0
1/1/90,men,singles,14,Andres Gomez,ECU,29,0,0
1/1/90,men,singles,15,Carl-Uwe Steeb,GER,22,0,0
1/1/90,men,singles,16,Jimmy Connors,USA,37,0,0
1/1/90,men,singles,17,Emilio Sanchez,ESP,24,0,0
1/1/90,men,singles,18,Horst Skoff,AUT,21,0,0
1/1/90,men,singles,19,Andrei Chesnokov,RUS,23,0,0
1/1/90,men,singles,20,Kevin Curren,USA,31,0,0
1/1/90,men,singles,21,Yannick Noah,FRA,29,0,0
1/1/90,men,singles,22,Jim Courier,USA,19,0,0
1/1/90,men,singles,23,Miloslav Mecir Sr.,SVK,25,0,0
1/1/90,men,singles,24,Christo Van Rensburg,RSA,27,0,0
1/1/90,men,singles,25,Sergi Bruguera,ESP,18,0,0
1/1/90,men,singles,26,Jaime Yzaga,PER,22,0,0
1/1/90,men,singles,27,Jan Gunnarsson,SWE,27,0,0
1/1/90,men,singles,28,Jakob Hlasek,SUI,25,0,0
1/1/90,men,singles,29,Goran Ivanisevic,CRO,18,0,0
1/1/90,men,singles,30,Guillermo Perez-Roldan,ARG,20,0,0
1/1/90,men,singles,31,Jim Grabb,USA,25,0,0
1/1/90,men,singles,32,Magnus Gustafsson,SWE,22,0,0
1/1/90,men,singles,33,Jordi Arrese,ESP,25,0,0
1/1/90,men,singles,34,Thomas Muster,AUT,22,0,0
1/1/90,men,singles,35,Ronald Agenor,USA,25,0,0
1/1/90,men,singles,36,Wally Masur,AUS,26,0,0
1/1/90,men,singles,37,Kelly Evernden,NZL,28,0,0
1/1/90,men,singles,38,Marcelo Filippini,URU,22,0,0
1/1/90,men,singles,39,Amos Mansdorf,ISR,24,0,0
1/1/90,men,singles,40,Anders Jarryd,SWE,28,0,0
1/1/90,men,singles,41,Jonas Svensson,SWE,23,0,0
1/1/90,men,singles,42,Paolo Cane,ITA,24,0,0
1/1/90,men,singles,43,Goran Prpic,CRO,25,0,0
1/1/90,men,singles,44,Luiz Mattar,BRA,26,0,0
